№,Название темы,Краткое описание,Лекция,Семинар,Тест,Видимость
1,Введение в курс канонического права,Понятие канонического права. Материальные и формальные источники,https://ahaslides.com/NCVT7,https://julian90807-rgb.github.io/canonical-law/materials/seminar1/,https://ahaslides.com/WQH4K,да
2,Состав Церкви и вступление в неё,Иерархия священства. Церковное членство,https://ahaslides.com/TEAVZ,https://julian90807-rgb.github.io/canonical-law/materials/seminar2/,https://ahaslides.com/Z9IFI,да
3,Управление в поместных Церквях епархиях приходах,Каноническое устройство церковного управления,https://ahaslides.com/SJSYF,https://julian90807-rgb.github.io/canonical-law/materials/seminar3/,https://ahaslides.com/XVW5Z,да
4,Имущественные права Церкви,Содержание духовенства. Церковная собственность,https://ahaslides.com/L4VIN,https://julian90807-rgb.github.io/canonical-law/materials/seminar4/,https://ahaslides.com/V2DAZ,да
5,Православное учение о государстве,Модели взаимоотношений Церкви и государства,https://ahaslides.com/KLLUP,https://julian90807-rgb.github.io/canonical-law/materials/seminar5/,https://ahaslides.com/E19IC,да
